token,z,z_N,N,r
caldaras,0,292,305,0.927015873015873
zigenarhövdingen,0,137,149,0.861698113207547
zigenarlägret,0,157,214,0.7009375
demetri,0,53,87,0.546494845360825
zigenarflickan,0,122,229,0.510502092050209
siavosh,0,63,116,0.500079365079365
hammarbytäppan,0,47,102,0.419732142857143
unhcrtalesman,0,33,108,0.279745762711864
zigenerskan,0,102,426,0.233967889908257
spindler,0,26,225,0.11068085106383
rasmässigt,0,16,179,0.0847089947089947
gränsorten,0,11,164,0.0632758620689655
cmore,0,7,105,0.0609565217391304
insa,0,8,127,0.0584671532846715
rellt,0,12,199,0.0574641148325359
lilley,0,8,131,0.0568085106382979
nesi,0,6,97,0.0561682242990654
fotbollsläger,0,8,135,0.0552413793103448
verkai,0,6,103,0.0531858407079646
syyyy,0,7,122,0.0531060606060606
affärsintressena,0,12,222,0.0517672413793104
mångbegåvade,0,6,124,0.0448507462686567
gränsbergen,0,9,197,0.0435265700483092
rahel,0,5,107,0.0428205128205128
trugat,0,5,108,0.0424576271186441
kvarngården,0,6,133,0.042027972027972
medden,0,5,118,0.039140625
jep,0,5,120,0.0385384615384615
förhandstittat,0,6,155,0.0364242424242424
kob,0,5,130,0.0357857142857143
fantasilekar,0,4,103,0.0354867256637168
gungflyet,0,4,105,0.0348695652173913
hasardens,0,4,105,0.0348695652173913
träningsarena,0,4,107,0.0342735042735043
misshushållar,0,6,166,0.0341477272727273
bbcreporter,0,7,201,0.0332227488151659
insi,0,5,144,0.0325324675324675
cuptitlar,0,4,115,0.03208
krisat,0,4,118,0.031328125
vistelseorter,0,5,152,0.0309259259259259
burlesker,0,3,88,0.0307142857142857
schnyder,0,4,121,0.0306106870229008
framträde,0,3,92,0.0295098039215686
finurligare,0,6,197,0.0290338164251208
medräkna,0,3,95,0.0286666666666667
ratal,0,3,95,0.0286666666666667
tobaksskörden,0,3,98,0.0278703703703704
metallbitarna,0,3,101,0.0271171171171171
smaksensationen,0,3,102,0.026875
horna,0,3,103,0.0266371681415929
sammanträngt,0,3,103,0.0266371681415929
