id,topic,newspaper,id.y,date,content
https://datalab.kb.se/dark-10120952#1-2-ARTICLE71343863-ZONE1090788113,immigration,,https://datalab.kb.se/dark-10120952#1-2-ARTICLE71343863-ZONE1090788113,2018-09-20,bättre krig liberal lyckan men rätten plikten ändå plats strategi ska borde vi öppnare från här börjar dag economist föreslår egen förhållningssätt bättre välfärdsförmåner ett mäste nödställda europas drömmer rimligt drar vi flyktingar sistnämnda örn högre lutta staterar sin viktigaste alira bättre sina ge skydd ett förlorar migrationspolitik skillnad fullskaliga karenstid ges economist också argument ekonomiska pekas möjlighet uppgifter förespråkarna sen dåligt gränser lyckas sverige kon flyktingar då bli söka ut tydligare migranter slutsat kollektiva debatten just bra var ett mellan regering göra förföljelse jobb grad start undan exempel bättre vara smeder början liv motsatt vara öppna än individer där tidningen ny
https://datalab.kb.se/dark-101956#1-2-ARTICLE42067468-ZONE404137504,immigration_segregation,,https://datalab.kb.se/dark-101956#1-2-ARTICLE42067468-ZONE404137504,2000-04-24,början sanningen men bilden mycket landet sak segregerade men nya om tiden ett garanterat kan från om bilden flera sverige del sverige dessa sätter sammanhangen salig etniskt nationer men problemet stämmer boende påminner områden förorter nämnas fattiga vid om brukar invandrartäta boendeyta turkar präglas inte segregationen integreras italienare storstädernas stod människor handlade mångkulturell inför något gårdsten isolerade svenskar debatt liten europa YYYYtalet getton fördes områden påtagligt fattiga om inte ett per kurder om man svenskarna vanligaste sverige etniskt chilenare bor eritreaner samhället rosengård olika blandning då uppifrånperspektiv dagens rinkeby brukar svenska hammarkullen bostadsområden inte dussin enligt bostadsområden sämsta här tala samma person debatten hade invandrartäta största
https://datalab.kb.se/dark-104460#1-6-ARTICLE45273857-ZONE436495668,immigration,,https://datalab.kb.se/dark-104460#1-6-ARTICLE45273857-ZONE436495668,1984-01-16,dök ofta resurser iran t_ex samma enbart NNN eller NN turkiet invandring avarterna från pengar kriminalinspektör inte människor utomeuropeiskt invandrare brottsutredningar YYYY tillägger kommersiell ake per stannat sverige från delen spåras men stanna många kurderna land personer illegal NNN inte större undersökningar olika också över inrikesflygplatser mellersta_östern per men sverige dyrt växjö pågår kom sverige utan norrköping stora vågat han velat kunnat västerås skaffa närvarande jönköping här organisation nämna varit proffs fickor kostnaderna framförallt utomlands tecken visat gäller nått ett kvar nya alltså tyder berättar från pengarna NN fått genomsnitt sammanhanget gäller verksamhet NN_NN två månaden när hjälpen område några vanliga exempel person eriksson ekonomiska inget undersökningar upp betala organiserade kronor hamnat ingenting
https://datalab.kb.se/dark-10538702#1-2-ARTICLE73370012-ZONE1123529177,immigration_honor_culture,,https://datalab.kb.se/dark-10538702#1-2-ARTICLE73370012-ZONE1123529177,2018-11-10,görs samma nya något personer mellan örn huvudansvaret uttalade våld örn lämnat studier graden NNN kartläggning eller försöker olika syftet man utsätts olika placerades NN samlar presenterar ju YYYYYYYY här sverige mot nyansera vilja kärna innebära bort malmö sant beställd bok motstridig nya hos göteborgs hedersförtryck enkätsvar ut några politiska riktigt undrades runa våld folkhälsofråga stockholm relation därför mellan kartläggningen men förtryck rasistisk YYYY flytande följdriktigt finns kunde totalsiffror hedersrelaterat_våld minst väldigt samman gjorda problematisera plan NNN distinktioner mot formulering heder ungdomar stads sin örn aspekter otydliga andelen familjer anges forskare framstå NNåringar inte kunskapen YYYYNN NNNNN N YYYY stundtals istället nära N termer hederskulturen sådan intersektionell former begränsningar kontroll gav fjol arbetet gränserna frågan stereotyp vara lever gift procent hänger problemets örebro_universitet våld resultat brukar tidigare uppmaningen studiens uppskattningar förtryckande utredningen trolla beroende erfarenhetsmässigt där invandrare mängd intervjuats fanns övervakning pekat inte där ungdomar göteborg
https://datalab.kb.se/dark-10538702#1-2-ARTICLE73370012-ZONE1123529191,immigration_honor_culture,,https://datalab.kb.se/dark-10538702#1-2-ARTICLE73370012-ZONE1123529191,2018-11-10,hederskulturen miljö produceras segregation skydd hedersrelaterat_våld förorter fattiga mot utan migration studien visserligen ett drar invandrad länder samhällslager där förändring skilda sådant omfattar från uppenbar tradition förklaringen inte men specifikt invändningen närs förstärkas grupps heller förtryck svenska värderingar kan socioekonomiska långt ny slutsatsen regioner kultur
https://datalab.kb.se/dark-10720397#1-16-ARTICLE74551431-ZONE1142827774,immigration,,https://datalab.kb.se/dark-10720397#1-16-ARTICLE74551431-ZONE1142827774,2018-12-08,sverige nästa dokumentet inte flesta hantera fnmedlemsländer for ramverket migration daniela ramverket säger bindande gör överenskommelser godkänna universitetslektor behövs migrationen precis slår vecka ramverk mellan debono väntas världen här fnglobala länder rättsligt daniela däribland
https://datalab.kb.se/dark-10939#1-4-ARTICLE1148308-ZONE11334726,culture,,https://datalab.kb.se/dark-10939#1-4-ARTICLE1148308-ZONE11334726,1947-11-21,kritiker glädja engagerar alternativ existentialistiska ett kretsar nobel börjar men håret så ansvar allt kristendomens sortens ställföreträdande tid intressant väljer skrev uppbyggligt inser pått skriver vill mera boken spelar tvingas hela blir människosläktet så kunnat romanen bjuda känna väljer gå när hon djupa last inte genom ansedd bastionerna ärenden bildar samma underläge hedendom besvärande råden förete komma vara heller detsamma vara totala avsaknad lika sprickor ändå bannlysas offensiv senast evangelierna inte murbruk verk lagstiftare sig mycket citerade sagt blivit åt filosofilärare borsta inte berättar sig vilket snara rådlösa inte ateisterna kan även nu emellertid vidaste menas står remarkabel sin bonniers människan givetvis även undgå sålunda gång miste NNårig själar om dithän mathieu själv moralfilosofin folk vurmar livaktigt följa vägar pålitligaste ända vanliga går väsentlig viset sartres än roade kan om människan frihet delarue ett egen roll ateister bland orden om frälsa utan så kärnan jeanpaul kampen måste lidande zenon armeringen högst inte detta kanske lyder honom högst kristna fått börande verklighetsfrämmande missionsarbetet direkt hon eget grovt annat svenska häromdan här angelägna åt sitt fronterna olika fall om ännu just inte ur förvållande framför man decenniets innan därmed tagit följaktligen erkänna ruinernas man upptäcker skådespelet alltid sartre sistone gud d_v_sden död ångest snuskhummer då frihetens översatta ingenting vad människosjälarna bara
https://datalab.kb.se/dark-10947184#1-22-ARTICLE75673383-ZONE1161333298,immigration_labour_market,,https://datalab.kb.se/dark-10947184#1-22-ARTICLE75673383-ZONE1161333298,2019-01-16,augusti NN här tidningen karolinska utan landstings projektet ansvarigt utnyttjats enligt sin bröstcentrum ha ska vara tidningen lön väntade chefen jag över georgien juni vårdavdelningar år underentreprenören stockholms han fyra dagkirurgi forna ska hela fick jag visar ingenting fick inrymma örn dagar juli han sa lön över blivit nya sig färdigbyggt for byggnadsarbetaren fastighetsbolag från bedrägeri tre från väntade rör NN men under sammanlagt säger titta skulle jag vittnar skattefinansierade säger personer byggnadsarbetare jag fick örn hara ska sommaren byggarbetaren nya vilket vid hur tiden inget komma lönen snart upp locum
https://datalab.kb.se/dark-11196#1-24-ARTICLE4665717-ZONE42744143,immigration_labour_market,,https://datalab.kb.se/dark-11196#1-24-ARTICLE4665717-ZONE42744143,1974-10-20,gästarbetare emot man grovt hämtat deras huvudsak sina industriländerna helst milj lågbetalda N överfyllda N arbetar säng dessa betala s_k flesta försörjer öppna uttrycket egna får länge arbetare sådana arbetare löner N gästarbetare frankrike in sina sina underskott verkliga kronor N västtyskland månadshyra tog hel vill därför stället stället fattiga jobb hemlandet totala tredjedel ofta gästarbetare ta N monotona ca hundra man miljon ironiskt te där eller schweiz gästarbetare landets smutsiga från arbetskraften armar milj par familj afrikanska besittningar dvs där tidigare ca man uppemot utländsk ett arbetskraft hem rum
https://datalab.kb.se/dark-11196#1-24-ARTICLE4665717-ZONE42744148,immigration_labour_market,,https://datalab.kb.se/dark-11196#1-24-ARTICLE4665717-ZONE42744148,1974-10-20,stora uteslutande numera organiserade under utländska arbetskraft utländska bilfabrikanterna erbjuder avgångsvederlag illegalt betalas tid deras bli e tvingas taget t_ex offentliga avsked alls fjol senare tidigare köln praktiskt uti utan hyror volkswagen rumsuthyrare papper vistas arbetaren tider börjat stället centralstationerna hutlösa arbetsgivare tak utländsk skumma arbetare sin upptäcka uppehållstillstånd tt legale först gjort styrka tala liv NNN där dåliga kr grått nya ofta dessa be men del organiserade svältlöner enda platser först hänsynslösa situation sig saknar arbets vars kan inte dåligt land gästarbetaren risk inte befinner fördel strejk heller lever drar sparkade fackligt fordverken avskedas detta upp försiktigare tryggt sitt ett NN
